order_id,order_date,customer_id,region,product_category,product_name,price,quantity,total_value,payment_method,delivery_days,returned
1001,2024-01-01,C031,Nordeste,Roupas,Jaqueta,2839,3,8517,Cartão de Crédito,9,No
1002,2024-01-01,C145,Centro-Oeste,Casa,Microondas,3391,3,10173,Cartão de Crédito,10,No
1003,2024-01-01,C128,Norte,Casa,Cafeteira,781,2,1562,Boleto,10,No
1004,2024-01-01,C387,Sudeste,Eletrônicos,Fone Bluetooth,939,3,2817,Pix,6,No
1005,2024-01-01,C484,Norte,Roupas,Jaqueta,328,3,984,Boleto,5,No
1006,2024-01-01,C191,Sudeste,Eletrônicos,TV 50,1412,2,2824,Pix,6,Yes
1007,2024-01-01,C077,Norte,Casa,Air Fryer,3409,1,3409,Pix,7,No
1008,2024-01-01,C484,Norte,Beleza,Kit Skincare,3867,2,7734,Pix,3,No
1009,2024-01-01,C348,Nordeste,Casa,Cafeteira,961,1,961,Cartão de Crédito,3,No
1010,2024-01-01,C113,Norte,Roupas,Tênis,3385,1,3385,Boleto,6,No
1011,2024-01-01,C286,Nordeste,Eletrônicos,Mouse Gamer,3944,3,11832,Pix,3,No
1012,2024-01-01,C342,Sudeste,Roupas,Camiseta,2350,3,7050,Cartão de Crédito,8,No
1013,2024-01-01,C396,Centro-Oeste,Beleza,Kit Skincare,2455,1,2455,Boleto,5,No
1014,2024-01-01,C239,Nordeste,Beleza,Kit Skincare,1319,1,1319,Cartão de Crédito,2,No
1015,2024-01-01,C381,Sudeste,Casa,Microondas,777,2,1554,Pix,7,No
1016,2024-01-02,C251,Norte,Roupas,Jaqueta,2172,1,2172,Cartão de Crédito,6,Yes
1017,2024-01-02,C348,Nordeste,Beleza,Kit Skincare,3791,2,7582,Cartão de Crédito,4,No
1018,2024-01-02,C447,Centro-Oeste,Eletrônicos,TV 50,3186,2,6372,Boleto,4,No
1019,2024-01-02,C150,Sudeste,Casa,Microondas,2472,1,2472,Pix,4,No
1020,2024-01-02,C478,Nordeste,Beleza,Kit Skincare,1234,3,3702,Boleto,4,No
1021,2024-01-02,C281,Centro-Oeste,Casa,Liquidificador,2588,1,2588,Pix,6,No
1022,2024-01-02,C441,Nordeste,Eletrônicos,Mouse Gamer,3528,3,10584,Cartão de Crédito,7,No
1023,2024-01-03,C207,Norte,Eletrônicos,Notebook,3159,1,3159,Boleto,5,No
1024,2024-01-03,C335,Sudeste,Beleza,Shampoo,2952,2,5904,Pix,5,No
1025,2024-01-03,C161,Nordeste,Casa,Microondas,1407,3,4221,Boleto,8,Yes
1026,2024-01-03,C162,Sul,Eletrônicos,Notebook,554,2,1108,Boleto,4,No
1027,2024-01-03,C175,Norte,Casa,Cafeteira,2261,3,6783,Boleto,4,No
1028,2024-01-03,C404,Nordeste,Casa,Cafeteira,1382,1,1382,Boleto,10,No
1029,2024-01-03,C014,Sul,Eletrônicos,Notebook,1306,2,2612,Cartão de Crédito,4,No
1030,2024-01-03,C441,Sul,Eletrônicos,TV 50,2751,3,8253,Boleto,9,No
1031,2024-01-04,C322,Sudeste,Eletrônicos,Notebook,1089,3,3267,Cartão de Crédito,7,No
1032,2024-01-04,C216,Centro-Oeste,Roupas,Calça Jeans,957,2,1914,Pix,8,No
1033,2024-01-04,C494,Centro-Oeste,Roupas,Tênis,485,3,1455,Boleto,6,No
1034,2024-01-04,C494,Sudeste,Casa,Air Fryer,1703,2,3406,Boleto,10,No
1035,2024-01-04,C005,Nordeste,Eletrônicos,Notebook,1624,1,1624,Cartão de Crédito,7,No
1036,2024-01-05,C031,Sul,Beleza,Shampoo,1833,2,3666,Pix,5,No
1037,2024-01-05,C366,Sudeste,Casa,Liquidificador,763,2,1526,Cartão de Crédito,3,No
1038,2024-01-05,C451,Sul,Roupas,Jaqueta,793,1,793,Cartão de Crédito,9,No
1039,2024-01-05,C314,Sul,Beleza,Perfume,573,3,1719,Cartão de Crédito,3,No
1040,2024-01-05,C240,Sul,Beleza,Perfume,3723,1,3723,Pix,6,Yes
1041,2024-01-05,C242,Nordeste,Roupas,Vestido,1702,2,3404,Pix,8,No
1042,2024-01-06,C438,Nordeste,Eletrônicos,Notebook,1871,1,1871,Boleto,4,No
1043,2024-01-06,C026,Norte,Casa,Liquidificador,2874,2,5748,Boleto,4,No
1044,2024-01-06,C250,Sudeste,Eletrônicos,Mouse Gamer,1658,2,3316,Pix,4,No
1045,2024-01-06,C301,Nordeste,Roupas,Tênis,2253,1,2253,Cartão de Crédito,10,No
1046,2024-01-06,C031,Nordeste,Eletrônicos,Fone Bluetooth,2793,2,5586,Cartão de Crédito,2,No
1047,2024-01-06,C411,Sul,Beleza,Perfume,3567,3,10701,Pix,5,No
1048,2024-01-06,C466,Norte,Casa,Cafeteira,1295,1,1295,Pix,7,No
1049,2024-01-06,C279,Norte,Roupas,Camiseta,3053,1,3053,Pix,8,No
1050,2024-01-06,C225,Sul,Casa,Cafeteira,945,2,1890,Boleto,9,No
1051,2024-01-06,C252,Sul,Casa,Cafeteira,3359,1,3359,Cartão de Crédito,8,No
1052,2024-01-07,C045,Sul,Beleza,Kit Skincare,2585,2,5170,Boleto,5,No
1053,2024-01-07,C170,Centro-Oeste,Beleza,Maquiagem,2301,1,2301,Cartão de Crédito,9,No
1054,2024-01-07,C208,Norte,Beleza,Perfume,574,3,1722,Cartão de Crédito,9,No
1055,2024-01-07,C338,Nordeste,Roupas,Tênis,921,3,2763,Boleto,6,No
1056,2024-01-07,C023,Norte,Beleza,Shampoo,3115,3,9345,Boleto,9,No
1057,2024-01-07,C250,Sudeste,Roupas,Calça Jeans,1510,1,1510,Pix,7,No
1058,2024-01-07,C300,Sul,Eletrônicos,Fone Bluetooth,1974,1,1974,Boleto,5,No
1059,2024-01-07,C259,Sudeste,Beleza,Shampoo,3913,2,7826,Boleto,8,No
1060,2024-01-07,C412,Sul,Beleza,Shampoo,920,1,920,Boleto,8,No
1061,2024-01-07,C274,Nordeste,Roupas,Vestido,1534,1,1534,Pix,2,No
1062,2024-01-07,C212,Centro-Oeste,Roupas,Vestido,2261,1,2261,Cartão de Crédito,9,No
1063,2024-01-08,C273,Centro-Oeste,Beleza,Shampoo,717,2,1434,Boleto,6,No
1064,2024-01-08,C418,Sul,Casa,Cafeteira,2552,3,7656,Cartão de Crédito,10,No
1065,2024-01-08,C316,Sul,Roupas,Tênis,3700,3,11100,Pix,7,No
1066,2024-01-08,C293,Sul,Beleza,Kit Skincare,1543,1,1543,Pix,10,No
1067,2024-01-08,C441,Nordeste,Beleza,Shampoo,1461,2,2922,Cartão de Crédito,10,No
1068,2024-01-08,C071,Nordeste,Roupas,Calça Jeans,1170,3,3510,Cartão de Crédito,3,No
1069,2024-01-08,C491,Centro-Oeste,Eletrônicos,TV 50,2592,1,2592,Boleto,7,No
1070,2024-01-08,C454,Sul,Beleza,Shampoo,2364,1,2364,Cartão de Crédito,2,No
1071,2024-01-09,C302,Sudeste,Beleza,Perfume,159,2,318,Cartão de Crédito,7,No
1072,2024-01-09,C127,Norte,Roupas,Vestido,970,3,2910,Pix,7,No
1073,2024-01-09,C107,Sudeste,Casa,Microondas,448,1,448,Boleto,6,No
1074,2024-01-09,C183,Sul,Roupas,Jaqueta,2020,2,4040,Boleto,7,No
1075,2024-01-09,C334,Sul,Eletrônicos,Fone Bluetooth,2035,1,2035,Boleto,7,Yes
1076,2024-01-09,C284,Centro-Oeste,Eletrônicos,Notebook,2553,3,7659,Cartão de Crédito,4,No
1077,2024-01-09,C445,Norte,Eletrônicos,Smartphone,1247,3,3741,Cartão de Crédito,7,No
1078,2024-01-09,C109,Sul,Beleza,Maquiagem,771,1,771,Boleto,3,Yes
1079,2024-01-09,C350,Nordeste,Casa,Microondas,3495,1,3495,Cartão de Crédito,3,Yes
1080,2024-01-09,C272,Nordeste,Eletrônicos,Mouse Gamer,3861,2,7722,Pix,3,No
1081,2024-01-09,C412,Centro-Oeste,Roupas,Jaqueta,3995,2,7990,Cartão de Crédito,3,No
1082,2024-01-09,C329,Sudeste,Roupas,Calça Jeans,2986,2,5972,Boleto,9,No
1083,2024-01-10,C238,Sudeste,Roupas,Calça Jeans,2945,1,2945,Cartão de Crédito,9,No
1084,2024-01-10,C292,Norte,Casa,Microondas,207,1,207,Boleto,6,Yes
1085,2024-01-10,C479,Centro-Oeste,Beleza,Shampoo,1524,3,4572,Pix,5,No
1086,2024-01-10,C034,Nordeste,Eletrônicos,Notebook,2282,1,2282,Cartão de Crédito,9,No
1087,2024-01-10,C306,Sul,Casa,Microondas,469,1,469,Boleto,8,Yes
1088,2024-01-10,C415,Nordeste,Casa,Liquidificador,3627,3,10881,Pix,5,No
1089,2024-01-10,C459,Norte,Roupas,Tênis,3619,3,10857,Boleto,10,No
1090,2024-01-10,C468,Sul,Casa,Cafeteira,1860,1,1860,Cartão de Crédito,2,No
1091,2024-01-11,C072,Nordeste,Casa,Air Fryer,2016,1,2016,Pix,6,No
1092,2024-01-11,C042,Nordeste,Roupas,Tênis,2997,2,5994,Boleto,6,No
1093,2024-01-11,C146,Centro-Oeste,Casa,Cafeteira,2877,3,8631,Cartão de Crédito,6,No
1094,2024-01-11,C332,Centro-Oeste,Eletrônicos,Smartphone,2649,2,5298,Pix,2,No
1095,2024-01-11,C268,Sudeste,Roupas,Vestido,3985,2,7970,Cartão de Crédito,8,No
1096,2024-01-11,C206,Nordeste,Roupas,Camiseta,1922,1,1922,Boleto,7,No
1097,2024-01-12,C397,Norte,Casa,Cafeteira,1373,1,1373,Cartão de Crédito,2,No
1098,2024-01-12,C046,Norte,Casa,Microondas,3471,3,10413,Pix,2,No
1099,2024-01-12,C118,Norte,Beleza,Kit Skincare,337,2,674,Boleto,2,No
1100,2024-01-12,C067,Sudeste,Roupas,Calça Jeans,690,3,2070,Pix,3,No
1101,2024-01-12,C143,Norte,Roupas,Vestido,1122,2,2244,Boleto,5,No
1102,2024-01-12,C214,Centro-Oeste,Beleza,Maquiagem,1502,3,4506,Cartão de Crédito,8,No
1103,2024-01-12,C098,Nordeste,Eletrônicos,Notebook,3467,2,6934,Cartão de Crédito,9,Yes
1104,2024-01-12,C096,Nordeste,Eletrônicos,TV 50,2308,1,2308,Boleto,9,No
1105,2024-01-12,C370,Sudeste,Casa,Liquidificador,3219,3,9657,Cartão de Crédito,7,No
